State,District,Latitude,Longitude,District code,District name,Population,Male_Literate,Female_Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Sex_Ratio,Literacy_ratte
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,Dhemaji,686133,237761,185267,1192,28195,211758,95.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,Dibrugarh,1326335,491361,393170,8817,136685,299852,96.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,Goalpara,1008183,304302,259275,1364,78641,228610,96.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,Golaghat,1066888,396475,325289,3073,82345,292893,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,Hailakandi,659296,226836,180530,1211,44143,159215,95.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,Jorhat,1092256,432335,362594,5651,122063,286330,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,Kamrup,1517542,550219,445100,3109,122191,390596,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,Karbi Anglong,956313,314253,242961,1923,53918,215691,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,Karimganj,1228686,435942,359355,1933,70951,261945,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,Kokrajhar,887142,275220,214085,1218,41373,204896,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,Lakhimpur,1042137,375552,307934,1948,60296,293239,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,Nagaon,2823768,921850,788866,5121,195631,674999,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,Nalbari,771639,293184,238587,1631,68313,210706,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,Sonitpur,1924110,620525,488047,4358,133368,483325,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,Tinsukia,1327929,453449,344873,5135,161718,290704,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,Araria,2811569,727643,468125,2561,43290,659061,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,Aurangabad,2540073,868733,597269,2362,44456,428291,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,Aurangabad,3701282,1430936,1072901,23258,589477,551789,92.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,Aurangabad,2540073,868733,597269,2362,44456,428291,93.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,Aurangabad,3701282,1430936,1072901,23258,589477,551789,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,Banka,2034763,590961,374360,1704,62359,425604,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,Begusarai,2970541,918507,630166,4644,120373,594377,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,Bhagalpur,3037766,937669,635397,6764,174534,522527,88.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,Bhojpur,2728407,973486,625665,3661,62153,434559,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,Buxar,1706352,593544,396263,1784,46760,299252,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,Darbhanga,3937385,1125566,691068,6280,127442,907174,91.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,Gaya,4391418,1368803,928810,6856,112617,696289,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,Gopalganj,2562012,793905,589093,3707,69375,515925,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,Jamui,1760405,534385,324203,1839,32633,325909,92.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,Jehanabad,1125313,374412,244469,1106,27641,186660,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,Katihar,3071029,762256,517934,2941,60900,668232,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,Khagaria,1666886,461153,306875,1580,40641,373696,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,Kishanganj,1690400,439921,305135,1093,58718,401793,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,Lakhisarai,1000912,305182,202088,1186,44491,175882,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,Madhepura,2001762,517666,316911,1397,23236,486278,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,Madhubani,4487379,1340085,815253,5319,113281,1047552,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,Munger,1367765,473741,328076,2653,90461,222281,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,Muzaffarpur,4801062,1487117,1022115,10290,180651,998694,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,Nalanda,2877653,919558,600375,4156,101378,514141,92.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,Nawada,2219146,659474,431538,1841,31162,379551,94.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,Pashchim Champaran,3935042,1091226,668255,3495,57546,839514,91.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,Patna,5838465,2028047,1431632,40692,546859,657991,90.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,Purba Champaran,5099371,1407603,869354,7719,74979,1142260,90.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,Purnia,3264619,805261,527065,4170,86058,712847,92.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,Rohtas,2959918,1061783,738049,4594,114893,512383,92.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,Saharsa,1900661,506374,298622,1668,41342,432651,91.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,Samastipur,4261566,1293575,849305,5379,88021,1012979,91.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,Saran,3951862,1285767,871687,4509,94787,701323,95.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,Sheikhpura,636342,196431,132245,631,20065,108293,93.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,Sheohar,656246,171645,112053,478,10004,158484,89.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,Sitamarhi,3423574,885188,551606,3460,66263,807294,90.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,Siwan,3330464,1115906,814269,3834,52935,632514,99.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,Supaul,2229076,647672,385611,1845,51028,572287,93.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,Vaishali,3495021,1152576,774164,4810,70001,699317,89.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,Chandigarh,1055450,465346,340092,44283,231204,8911,82.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,Bastar,1413199,382335,268528,1782,157646,316425,102.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,Bilaspur,381956,155599,132021,1574,79146,152458,98.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,Bilaspur,2663629,932474,664086,8566,519704,549632,97.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,Bilaspur,381956,155599,132021,1574,79146,152458,98.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,Bilaspur,2663629,932474,664086,8566,519704,549632,97.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,Dhamtari,799781,303924,242909,1016,148926,168689,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,Durg,3343872,1284612,1018766,16141,614109,533448,99.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,Jashpur,851669,280656,214759,567,76783,205670,101.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,Korba,1206640,433391,315368,4544,202380,206598,97.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,Koriya,658917,229923,167900,1667,80023,121852,97.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,Mahasamund,1032754,364089,273874,961,212487,274793,102.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,Raigarh,1493984,542756,408883,3342,297308,354278,99.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,Raigarh,2634200,1059692,880302,38570,547206,581868,96.0,74.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,Raigarh,1493984,542756,408883,3342,297308,354278,99.0,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,Raigarh,2634200,1059692,880302,38570,547206,581868,96.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,Raipur,4063872,1493158,1136591,20261,728556,673499,98.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,Surguja,2359886,694686,493255,2737,253131,525596,98.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,Daman,191173,104316,46032,1316,49249,10006,53.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,Junagadh,2743082,1046981,795837,6628,498326,489237,95.0,67.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,Junagadh,2743082,1046981,795837,6628,498326,489237,95.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,North Goa,818008,351738,311322,23440,173951,115859,96.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,South Goa,640537,264085,238342,17624,138810,88620,99.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,Ahmadabad,7214225,3025463,2410297,126341,1456046,353169,90.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,Amreli,1514190,558180,437279,2538,273331,313714,96.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,Anand,2092745,874481,676772,9902,378310,413078,92.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,Banas Kantha,3120506,1048402,656521,3424,396873,666773,94.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,Bharuch,1551019,623047,495229,10257,309091,300677,93.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,Bhavnagar,2880365,1087371,799884,7297,500757,387251,93.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,Gandhinagar,1391753,582686,447808,12107,262539,237624,92.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,Jamnagar,2160119,795140,601394,11573,386538,347158,94.0,65.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,Kachchh,2092371,739239,513080,9631,403294,488293,91.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,Kheda,2299885,942480,717763,5710,372226,461479,94.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,Mahesana,2035064,847499,655146,7759,385609,476005,93.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,Narmada,590297,211767,158569,576,101940,138121,96.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,Navsari,1329672,539471,462438,6726,267679,267739,96.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,Panch Mahals,2390776,858054,582751,3456,398937,463363,95.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,Patan,1343734,494631,343282,2231,223424,301483,94.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,Porbandar,585449,221621,172057,1653,117040,96015,95.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,Rajkot,3804558,1514075,1210981,21785,747352,459474,93.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,Sabar Kantha,2428589,918625,660109,5262,438606,544024,95.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,Surat,6081322,2687468,1883942,55694,1252452,369840,79.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,Surendranagar,1756268,643221,450405,2975,302068,340788,93.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,The Dangs,228291,77314,63654,137,29794,52102,101.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,Vadodara,4165626,1614087,1278993,53606,798277,547454,93.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,Valsad,1705678,655528,515129,11020,329218,262410,92.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,Ambala,1128350,461288,356737,12899,199681,175365,88.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,Bhiwani,1634445,643158,426713,5292,266244,357047,89.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,Faridabad,1809733,734940,537799,43437,333171,87700,87.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,Fatehabad,942011,327471,230107,3210,153301,203020,90.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,Gurgaon,1514432,638666,472450,67087,305751,141703,85.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,Hisar,1743931,670200,444111,10132,285004,302013,87.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,Jhajjar,958405,399480,276611,5034,168558,211816,86.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,Jind,1334152,502049,330709,5263,222462,278335,87.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,Kaithal,1074304,385782,260747,3724,187349,231091,88.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,Karnal,1505324,564516,413497,11163,267223,292682,89.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,Kurukshetra,964655,370828,276065,7356,171908,203553,89.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,Mahendragarh,922088,380440,249815,2624,135455,223726,89.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,Panchkula,561293,229862,175456,18615,103455,70895,87.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,Panipat,1205437,464136,322463,10024,209965,173502,86.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,Rewari,900332,375453,261494,5121,152651,199449,90.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,Rohtak,1061204,436025,311557,8482,193120,175203,87.0,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,Sirsa,1295189,456968,325929,6287,215527,245476,90.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,Chamba,519080,186064,137778,1615,96082,186395,99.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,Hamirpur,454768,180555,177536,2521,104120,196116,110.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,Hamirpur,1104285,408125,245174,1196,55929,256081,86.0,59.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,Hamirpur,454768,180555,177536,2521,104120,196116,110.0,79.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,Hamirpur,1104285,408125,245174,1196,55929,256081,86.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,Kangra,1510075,606443,546197,8053,330081,588321,101.0,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,Kinnaur,84121,36697,24002,354,17865,44514,82.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,Kullu,437903,174550,133122,2623,91322,167995,94.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,Mandi,999777,393669,330078,5333,214491,431129,101.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,Shimla,814010,342846,269796,9177,172754,279269,92.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,Sirmaur,529855,205617,157028,2220,91509,171102,92.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,Solan,580320,244372,184206,5250,119866,192787,88.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,Una,521173,213281,186434,2412,105929,185091,98.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,Doda,409936,138620,80463,596,61831,122267,92.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,Jammu,1529958,641916,495219,19905,294739,254566,88.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,Kargil,140802,56301,29935,235,15824,40370,81.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,Kathua,616435,228499,160705,1443,109422,181374,89.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,Pulwama,560440,178326,115632,1537,73629,147520,91.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,Punch,476835,163333,98391,346,62900,132139,89.0,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,Srinagar,1236829,431746,316838,16413,165403,4518,90.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,Udhampur,554985,197543,124811,1214,73999,148664,87.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,Bokaro,2062330,759088,514432,9754,274726,250312,92.0,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,Chatra,1042886,303902,206159,590,27037,200974,95.0,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,Deoghar,1492073,489837,303701,1944,130193,257373,93.0,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,Dhanbad,2684487,1014950,707254,11568,427173,258764,91.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,Dumka,1321442,406275,266134,1193,62110,303697,98.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,Garhwa,1322784,405161,248315,565,29373,272872,94.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,Giridih,2445474,783736,469739,1944,125431,452564,94.0,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,Godda,1313551,376212,228307,874,43230,276454,94.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,Gumla,1025213,321795,237925,831,31687,216629,99.0,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,Jamtara,791042,258260,168052,808,49419,165555,95.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,Latehar,726978,209706,140976,340,38194,146377,97.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,Lohardaga,461790,149568,110139,351,28769,96759,99.0,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,Pakur,900422,206989,145892,328,31414,200588,99.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,Palamu,1939869,621706,402857,2155,68238,355529,93.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,Ranchi,2914253,1085244,826189,22538,350908,420740,95.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,Sahibganj,1150567,287303,195960,591,34879,223450,95.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,Simdega,599578,191991,151492,423,16865,144169,100.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,Bagalkot,1889752,641388,472024,3745,301389,324799,99.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,Bangalore Rural,990923,385311,303438,3729,214253,231052,95.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,Belgaum,4779661,1725548,1326484,17560,808827,962777,97.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,Bellary,2452595,813440,608181,9626,440374,371604,98.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,Bidar,1703300,597198,445475,3971,271439,287134,96.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,Bijapur,255230,54076,32843,117,12516,50449,98.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,Bijapur,2177331,730566,517702,4987,326594,396449,96.0,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,Chikmagalur,1137961,438257,380088,4510,238505,311660,101.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,Chitradurga,1659456,607188,480204,5711,307257,349704,97.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,Davanagere,1945497,720637,587903,7320,372671,354680,97.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,Dharwad,1847023,711776,589888,15013,347962,199707,97.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,Gadag,1064570,397178,302999,3373,198064,180066,98.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,Gulbarga,2566326,828359,599009,9752,404767,400704,97.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,Hassan,1776421,668836,556420,4851,400702,496103,101.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,Haveri,1597668,603793,481650,2456,295937,315076,95.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,Kodagu,554519,215302,197575,3308,113931,181182,102.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,Kolar,1536401,564110,452109,5051,309494,326567,98.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,Koppal,1389920,468785,340300,2135,223166,272968,99.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,Mandya,1805769,638668,510981,3367,391033,458867,100.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,Mysore,3001127,1063766,898414,28397,640868,540596,99.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,Raichur,1928812,577213,402556,5200,314547,330446,100.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,Shimoga,1752753,674938,588078,8791,363835,352444,100.0,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,Tumkur,2678980,1006024,807367,7971,562769,685443,98.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,Udupi,1177361,465704,460725,9070,224814,269817,109.0,79.0
